Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
3,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295842,,SGSIN,ITGOA,,,10400,KUEHNE + NAGEL LTD,QGEN057465,CANDY HOOVER GROUP SRL,N,N,N,KITTY,SGSIN,CNNSA,,
3,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295842,,SGSIN,ITGOA,,,10400,KUEHNE + NAGEL LTD,QGEN057465,CANDY HOOVER GROUP SRL,N,N,N,KITTY,SGSIN,CNNSA,,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,UNASSIGNED,ZSN0295869,,ESVLC,ESVLC,,,10200,TRANSWAYS LOGISTICS INTERNATIONAL,QIVL015284,MPG GLOBAL LOGISTICS PROVIDERS SL,N,N,N,KITTY,,CNNSA,,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295959,,MTMLA,TNSUS,,,25900,GUANGZHOU EASTRANS INTL FREIGHT CO,QZSN006022,REAL WISDOM LIMITED,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,UNASSIGNED,ZSN0295971,,MTMLA,TNSUS,,,19230,GUANGZHOU EASTRANS INTL FREIGHT CO,QZSN006022,REAL WISDOM LIMITED,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40ST,2,UNASSIGNED,ZSN0295973,,SGSIN,SYLTK,,,31200,ZHONGSHAN VANWELL LOGISTICS CO LTD,FL4119-MBW-A-002,SZ VANWELL INTL LOG CO LTD,N,N,N,KITTY,SGSIN,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
7,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296067,,MTMLA,LYMRA,,,6042.85,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
10,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0296069,,MTMLA,LYMRA,,,5400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
